empresa,nicho,cidade,telefone,email,site,linkedin,instagram,google_maps_url,status
"LB Cenografia e Eventos","cenografia para eventos","Av. Cel. Sezefredo Fagundes, n° 5419 - Jardim Francisco Mendes, São Paulo - SP, 02306-005","011954466737","landbertstandscenografia@gmail.com","https://www.lbcenografiaestands.com.br/","","","https://www.google.com.br/maps/place/LB+Cenografia+e+Eventos/data=!4m7!3m6!1s0x94cef34f1400a9dd:0x9f5212c8b6ad56b6!8m2!3d-23.416668!4d-46.5855769!16s%2Fg%2F11vqhwwbsh!19sChIJ3akAFE_zzpQRtlattsgSUp8?authuser=0&hl=pt-BR&rclk=1","new"
"Archie Cenografia | Montagem de Estandes Para Feiras e Eventos Corporativos","cenografia para eventos","R. José Góes Nogueira, 248 - Vila Paranagua, São Paulo - SP, 03807-380","01126415656","contato@archiecenografia.com.br","http://archiecenografia.com.br/","https://www.linkedin.com/company/archiecenografia","https://www.instagram.com/archiecenografia","https://www.google.com.br/maps/place/Archie+Cenografia+%7C+Montagem+de+Estandes+Para+Feiras+e+Eventos+Corporativos/data=!4m7!3m6!1s0x94ce5e4923ce32ef:0xae261eaa05fca020!8m2!3d-23.4964981!4d-46.474363!16s%2Fg%2F11j8rmgsd4!19sChIJ7zLOI0lezpQRIKD8BaoeJq4?authuser=0&hl=pt-BR&rclk=1","new"
"GR STANDS e CENOGRAFIA ¦ Referência em Montagem de Stands ¦ Eventos Corporativos ¦ Feiras ¦ Congressos ¦ PDV ¦","cenografia para eventos","R. Emília Maria Ramalho Torres, 60 - sala 2 - Butantã, São Paulo - SP, 05537-001","011940511119","","http://greventos.com.br/","","","https://www.google.com.br/maps/place/GR+STANDS+e+CENOGRAFIA+%C2%A6+Refer%C3%AAncia+em+Montagem+de+Stands+%C2%A6+Eventos+Corporativos+%C2%A6+Feiras+%C2%A6+Congressos+%C2%A6+PDV+%C2%A6/data=!4m7!3m6!1s0x94ce568f332ec78b:0x4471567219115bf7!8m2!3d-23.5740253!4d-46.7296692!16s%2Fg%2F11c1w0dxcr!19sChIJi8cuM49WzpQR91sRGXJWcUQ?authuser=0&hl=pt-BR&rclk=1","extracted"
"Euro Cenografia - Montagem de stand e cenografia para Feiras e Eventos","cenografia para eventos","R. Vanderlei, 928 - Perdizes, São Paulo - SP, 05011-001","011986516181","comercial@eurocenografias.com.br","https://www.eurocenografias.com.br/","https://www.linkedin.com/company/euro-cenografias","https://www.instagram.com/euro_cenografias","https://www.google.com.br/maps/place/Euro+Cenografia+-+Montagem+de+stand+e+cenografia+para+Feiras+e+Eventos/data=!4m7!3m6!1s0x94ce5320058d5ebb:0xed9052da15344c5c!8m2!3d-23.5393562!4d-46.6758833!16s%2Fg%2F11tn0bymzb!19sChIJu16NBSBTzpQRXEw0FdpSkO0?authuser=0&hl=pt-BR&rclk=1","new"
"Le Cordon Bleu Café e Kofi & Co - Culinary Village","empresa de eventos corporativos","R. Natingui, 862 - 1 andar - Vila Madalena, São Paulo - SP, 05443-001","01131852537","","https://menu.colibricloud.com/app/kofi-co/kofi-co-cv-lcb","","","https://www.google.com.br/maps/place/Le+Cordon+Bleu+Caf%C3%A9+e+Kofi+%26+Co+-+Culinary+Village/data=!4m7!3m6!1s0x94ce5782c2857fd1:0x744d9c8d4c3a4e2a!8m2!3d-23.553959!4d-46.697048!16s%2Fg%2F11l6wvmdsp!19sChIJ0X-FwoJXzpQRKk46TI2cTXQ?authuser=0&hl=pt-BR&rclk=1","extracted"
"Brazilian DMC Laditour","empresa de eventos corporativos","R. Barão do Triunfo, 88 - conj 1001 - Brooklin, São Paulo - SP, 04602-000","011999586557","","http://www.laditourbrazil.com/","","","https://www.google.com.br/maps/place/Brazilian+DMC+Laditour/data=!4m7!3m6!1s0x94ce50941ae4e777:0x780ccf6f2a45caa0!8m2!3d-23.627117!4d-46.685501!16s%2Fg%2F11jmq2n_1q!19sChIJd-fkGpRQzpQRoMpFKm_PDHg?authuser=0&hl=pt-BR&rclk=1","extracted"
"Playcorp Agência de Eventos em São Paulo","empresa de eventos corporativos","R. Antônio Raposo - Lapa, São Paulo - SP, 05074-020","011990256428","playcorp@playcorp.com.br","http://www.playcorpeventos.com.br/","","https://www.instagram.com/playcorpeventos","https://www.google.com.br/maps/place/Playcorp+Ag%C3%AAncia+de+Eventos+em+S%C3%A3o+Paulo/data=!4m7!3m6!1s0x94ce578999cf034d:0x41a6b8af400c3260!8m2!3d-23.5209682!4d-46.7065563!16s%2Fg%2F1pt_wg1sy!19sChIJTQPPmYlXzpQRYDIMQK-4pkE?authuser=0&hl=pt-BR&rclk=1","new"
"ZAZ Produções","empresa de eventos corporativos","Av. Paulista, 807 - Conjunto 807 - Bela Vista, São Paulo - SP, 01310-100","01132979671","contato@zazproducoes.com","http://www.zazproducoes.com/","https://www.linkedin.com/company/zazproducoes","https://www.instagram.com/zazproducoes","https://www.google.com.br/maps/place/ZAZ+Produ%C3%A7%C3%B5es/data=!4m7!3m6!1s0x94ce59b89b22ad73:0xcb0630c9d543bb6d!8m2!3d-23.5665641!4d-46.650928!16s%2Fg%2F11b69jh26p!19sChIJc60im7hZzpQRbbtD1ckwBss?authuser=0&hl=pt-BR&rclk=1","generic_email"
"Central de Eventos","empresa de eventos corporativos","Av. São Luís, 165 - 10º andar - República, São Paulo - SP, 01046-001","01131500800","eventos@ceventos.com","http://www.ceventos.com/","https://www.linkedin.com/company/2792101","https://www.instagram.com/ceventos","https://www.google.com.br/maps/place/Central+de+Eventos/data=!4m7!3m6!1s0x94ce584e746a2cf7:0x961736d6e97af3ba!8m2!3d-23.5461617!4d-46.642789!16s%2Fg%2F11c58rv3bl!19sChIJ9yxqdE5YzpQRuvN66dY2F5Y?authuser=0&hl=pt-BR&rclk=1","new"
"7418 Produções de Eventos","empresa de eventos corporativos","Alameda Barros - Santa Cecilia, São Paulo - SP, 01232-000","011991441189","","","","","https://www.google.com.br/maps/place/7418+Produ%C3%A7%C3%B5es+de+Eventos/data=!4m7!3m6!1s0x94ce597f8f83fd7d:0x935ad6afcd0b56e7!8m2!3d-23.5365757!4d-46.6557692!16s%2Fg%2F11n4q6c5tw!19sChIJff2Dj39ZzpQR51YLza_WWpM?authuser=0&hl=pt-BR&rclk=1","extracted"
