empresa,nicho,cidade,telefone,email,site,linkedin,instagram,google_maps_url,status
"Sorridents Anhangabaú: Clínica Odontológica, Dentista, Implante Dentário, São Paulo SP","clínica odontológica","R. Conselheiro Crispiniano, 68 - República, São Paulo - SP, 01037-000","01132140971","sp.anhangabau@sorridents.com.br","https://sorridents.com.br/unidade/anhangabau","","https://www.instagram.com/sorridents_clinicas","https://www.google.com.br/maps/place/Sorridents+Anhangaba%C3%BA:+Cl%C3%ADnica+Odontol%C3%B3gica,+Dentista,+Implante+Dent%C3%A1rio,+S%C3%A3o+Paulo+SP/data=!4m7!3m6!1s0x94ce59dd3285813f:0xe58fb185c696568d!8m2!3d-23.5464421!4d-46.6400285!16s%2Fg%2F11j3sg9fg7!19sChIJP4GFMt1ZzpQRjVaWxoWxj-U?authuser=0&hl=pt-BR&rclk=1","has_website"
"Domo Odontologia Clínica e Atendimento 24 horas","clínica odontológica","Av. Rebouças, 2907 - Pinheiros, São Paulo - SP, 05401-350","011996390182","","https://domoclinica.com.br/","","https://www.instagram.com/domoclinica","https://www.google.com.br/maps/place/Domo+Odontologia+Cl%C3%ADnica+e+Atendimento+24+horas/data=!4m7!3m6!1s0x94ce5774f865dc5f:0xdd89cddf64d8d175!8m2!3d-23.5695086!4d-46.6873543!16s%2Fg%2F1tj470h3!19sChIJX9xl-HRXzpQRddHYZN_Nid0?authuser=0&hl=pt-BR&rclk=1","has_website"
"Clínica Bela Vista","clínica odontológica","R. Condessa de São Joaquim, 339 - Bela Vista, São Paulo - SP, 01320-000","011989754251","contato@clinicabelavista.com.br","http://www.clinicabelavista.com/","","https://www.instagram.com/clinicabelavista","https://www.google.com.br/maps/place/Cl%C3%ADnica+Bela+Vista/data=!4m7!3m6!1s0x94ce59afb586e677:0x86e220eb1dd3c1d1!8m2!3d-23.5575954!4d-46.640412!16s%2Fg%2F1pp2vjbvm!19sChIJd-aGta9ZzpQR0cHTHesg4oY?authuser=0&hl=pt-BR&rclk=1","has_website"
"Clínica Odontológica Dra. Mayara Vianna | Dentista no Centro de São Paulo","clínica odontológica","R. José Bonifácio, 176 - 4º Andar - Centro Histórico de São Paulo, São Paulo - SP, 01003-000","011964730924","","","","","https://www.google.com.br/maps/place/Cl%C3%ADnica+Odontol%C3%B3gica+Dra.+Mayara+Vianna+%7C+Dentista+no+Centro+de+S%C3%A3o+Paulo/data=!4m7!3m6!1s0x94ce594368bbf2f9:0xc2c4fd012f5b648a!8m2!3d-23.5487559!4d-46.6361565!16s%2Fg%2F11mzfjtcpg!19sChIJ-fK7aENZzpQRimRbLwH9xMI?authuser=0&hl=pt-BR&rclk=1","no_website"
"Nippo Dents Clínica Odontológica | Melhores Dentistas | Implantes Dentários São Paulo","clínica odontológica","Av. Fagundes Filho, 141 - cj. 66 - São Judas, São Paulo - SP, 04304-010","011963263528","nippodents@gmail.com","https://nippodents.com.br/","","https://www.instagram.com/nippodents.odontologia","https://www.google.com.br/maps/place/Nippo+Dents+Cl%C3%ADnica+Odontol%C3%B3gica+%7C+Melhores+Dentistas+%7C+Implantes+Dent%C3%A1rios+S%C3%A3o+Paulo/data=!4m7!3m6!1s0x94ce5af87b5b96b5:0x4c8f61042fe52350!8m2!3d-23.626551!4d-46.640025!16s%2Fg%2F11c20svbr6!19sChIJtZZbe_hazpQRUCPlLwRhj0w?authuser=0&hl=pt-BR&rclk=1","has_website"
"Cia do Sorriso","clínica odontológica","R. Ricardo Leite, 81 - Nossa Sra. da Conceicao, João Monlevade - MG, 35930-017","031989893133","","https://ciajoaomonlevade.wixsite.com/website","","https://www.instagram.com/ciadosorrisomg","https://www.google.com.br/maps/place/Cia+do+Sorriso/data=!4m7!3m6!1s0xa5a9d626ff30e9:0x5f09db634d74933e!8m2!3d-19.8090493!4d-43.1748128!16s%2Fg%2F11c5xg3bf4!19sChIJ6TD_JtappQARPpN0TWPbCV8?authuser=0&hl=pt-BR&rclk=1","has_website"
"Viviane Leal Pontes","clínica odontológica","Av. dos Autonomistas, 900 - Sala2803T2, Osasco - SP, 06020-010","01136891279","","http://www.instagram.com/dr.viviane","","","https://www.google.com.br/maps/place/Viviane+Leal+Pontes/data=!4m7!3m6!1s0x94ceffed8643811f:0xe0ec877456f844be!8m2!3d-23.543369!4d-46.763644!16s%2Fg%2F11lgzylf29!19sChIJH4FDhu3_zpQRvkT4VnSH7OA?authuser=0&hl=pt-BR&rclk=1","has_website"
"Consultório Odontólogico Dra. Lorena Moreira da Silva","clínica odontológica","R. Gomes Batista, 37 - Nossa Sra. da Conceicao, João Monlevade - MG, 35930-033","031988510102","","https://www.instagram.com/dra.lorenamoreira?igsh=MXRsYnpubmVyODQ=&utm_source=qr","","https://about.instagram.com/","https://www.google.com.br/maps/place/Consult%C3%B3rio+Odont%C3%B3logico+Dra.+Lorena+Moreira+da+Silva/data=!4m7!3m6!1s0xa507453363ea2b:0xac1f214fbd1d8cac!8m2!3d-19.8095184!4d-43.1731094!16s%2Fg%2F11h1knt0q0!19sChIJK-pjM0UHpQARrIwdvU8hH6w?authuser=0&hl=pt-BR&rclk=1","has_website"
"Sorridents Anhangabaú: Clínica Odontológica, Dentista, Implante Dentário, São Paulo SP","clínica odontológica","R. Conselheiro Crispiniano, 68 - República, São Paulo - SP, 01037-000","01132140971","sp.anhangabau@sorridents.com.br","https://sorridents.com.br/unidade/anhangabau","","https://www.instagram.com/sorridents_clinicas","https://www.google.com.br/maps/place/Sorridents+Anhangaba%C3%BA:+Cl%C3%ADnica+Odontol%C3%B3gica,+Dentista,+Implante+Dent%C3%A1rio,+S%C3%A3o+Paulo+SP/data=!4m7!3m6!1s0x94ce59dd3285813f:0xe58fb185c696568d!8m2!3d-23.5464421!4d-46.6400285!16s%2Fg%2F11j3sg9fg7!19sChIJP4GFMt1ZzpQRjVaWxoWxj-U?authuser=0&hl=pt-BR&rclk=1","has_website"
"São Paulo Dental Stúdio","clínica odontológica","Av. Angélica, 2582 - 1° andar - Higienópolis, São Paulo - SP, 01228-200","011945068360","","http://www.saopaulodentalstudio.com.br/","","https://www.instagram.com/saopaulodentalstudio","https://www.google.com.br/maps/place/S%C3%A3o+Paulo+Dental+St%C3%BAdio/data=!4m7!3m6!1s0x94ce596591bc6c85:0x2ee4316aaf1be4a8!8m2!3d-23.5541426!4d-46.6629086!16s%2Fg%2F11kxlf1lq1!19sChIJhWy8kWVZzpQRqOQbr2ox5C4?authuser=0&hl=pt-BR&rclk=1","has_website"
"Domo Odontologia Clínica e Atendimento 24 horas","clínica odontológica","Av. Rebouças, 2907 - Pinheiros, São Paulo - SP, 05401-350","011996390182","","https://domoclinica.com.br/","","https://www.instagram.com/domoclinica","https://www.google.com.br/maps/place/Domo+Odontologia+Cl%C3%ADnica+e+Atendimento+24+horas/data=!4m7!3m6!1s0x94ce5774f865dc5f:0xdd89cddf64d8d175!8m2!3d-23.5695086!4d-46.6873543!16s%2Fg%2F1tj470h3!19sChIJX9xl-HRXzpQRddHYZN_Nid0?authuser=0&hl=pt-BR&rclk=1","has_website"
"Clínica Ede","clínica odontológica","R. Maj. Sertório, 284 - sala 1 - Vila Buarque, São Paulo - SP, 01222-000","01131593884","atendimento@clinicaede.com.br","https://www.clinicaede.com.br/","","https://www.instagram.com/clinica.ede","https://www.google.com.br/maps/place/Cl%C3%ADnica+Ede/data=!4m7!3m6!1s0x94ce5849283ae7c1:0x56f83e689afda82d!8m2!3d-23.545349!4d-46.6468688!16s%2Fg%2F1wg5z41z!19sChIJwec6KElYzpQRLaj9mmg--FY?authuser=0&hl=pt-BR&rclk=1","has_website"
